timestamp,Open,High,Low,Close,Volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2021-01-04,1.588,4.12,1.588,2.14,23790755.15,1610323199999.0,63903548.326542,176447.0,11913197.83,32115768.625899,0.0
2021-01-11,2.1534,2.2432,1.755,2.125,2588162.16,1610927999999.0,5313779.395313,17306.0,1203415.01,2479175.346327,0.0
2021-01-18,2.125,3.85,2.0683,2.7848,39162624.81,1611532799999.0,115350603.773157,235463.0,20603702.61,61176312.890807,0.0
2021-01-25,2.7848,3.5998,2.753,2.8041,16164929.21,1612137599999.0,50224955.857093,141415.0,8385312.88,26160778.845572,0.0
2021-02-01,2.8042,3.85,2.765,3.6017,9802032.23,1612742399999.0,31603028.398299,116125.0,4908588.7,15902022.125101,0.0
2021-02-08,3.6129,5.98,3.2902,4.3421,21945949.85,1613347199999.0,100148007.737431,319062.0,10722146.44,49177196.219154,0.0
2021-02-15,4.3511,6.6,3.75,5.1249,17750957.53,1613951999999.0,90259547.52883,304540.0,8916180.47,45517664.174833,0.0
2021-02-22,5.1249,5.1289,3.3565,3.818,4648496.38,1614556799999.0,19561808.805685,88877.0,1975845.22,8350507.761456,0.0
2021-03-01,3.7991,4.2948,3.6003,3.8943,3755292.98,1615161599999.0,14789263.402835,65363.0,1734909.38,6838483.554335,0.0
2021-03-08,3.8941,4.8,3.6991,3.856,7026314.93,1615766399999.0,28224742.388295,121171.0,3184844.23,12828010.010333,0.0
2021-03-15,3.856,4.6,3.591,3.8941,8499454.41,1616371199999.0,34304049.233494,136494.0,3965246.74,16013185.265202,0.0
2021-03-22,3.8857,4.252,3.2493,3.5692,9080025.39,1616975999999.0,34015434.652684,136757.0,4394622.92,16482037.751448,0.0
2021-03-29,3.5692,5.0191,3.5499,4.416,13461316.67,1617580799999.0,60049103.582629,198260.0,6669711.09,29835208.290165,0.0
2021-04-05,4.4132,4.8,4.2,4.6966,5463335.18,1618185599999.0,24463567.051636,109867.0,2749819.9,12319584.132816,0.0
2021-04-12,4.7092,5.0298,3.7,4.0301,10067096.71,1618790399999.0,45158553.459282,217545.0,4767658.62,21397359.870903,0.0
2021-04-19,4.0295,7.2537,3.786,5.6067,66351157.8,1619395199999.0,380893679.670242,1174058.0,32807171.55,189126759.814622,0.0
2021-04-26,5.6099,6.15,4.991,5.6155,19842218.79,1619999999999.0,110361568.195143,412423.0,9805549.7,54586054.394842,0.0
2021-05-03,5.6215,5.8213,4.9596,5.2642,13719842.26,1620604799999.0,74225992.197784,308009.0,6673198.91,36084158.396733,0.0
2021-05-10,5.2612,5.6,4.1689,4.6019,12683517.95,1621209599999.0,62607660.360802,278621.0,6319260.42,31176179.986458,0.0
2021-05-17,4.6109,6.7,2.2,2.6379,34987689.82,1621814399999.0,174002055.952598,616349.0,17521797.34,88166258.194675,0.0
2021-05-24,2.6397,3.977,2.4835,3.397,15034378.58,1622419199999.0,50668807.80011,220786.0,7735245.48,26090836.372641,0.0
2021-05-31,3.397,3.8,3.1226,3.237,6127949.51,1623023999999.0,20813715.959782,102016.0,3095956.61,10550781.681645,0.0
2021-06-07,3.2347,3.2867,2.4443,2.5886,12682700.37,1623628799999.0,36075040.43495,157175.0,6647151.16,18840954.20405,0.0
2021-06-14,2.5861,2.8591,2.0996,2.3266,14488027.28,1624233599999.0,36546997.834906,191932.0,7348767.86,18550356.141985,0.0
2021-06-21,2.3243,4.68,1.6501,3.47,70419101.89,1624838399999.0,241455788.125173,1004070.0,35184127.5,121042962.359407,0.0
2021-06-28,3.4676,3.97,2.8075,3.4172,40113553.47,1625443199999.0,137012560.822344,601595.0,20121050.45,68851593.338928,0.0
2021-07-05,3.4201,3.4201,2.81,2.8882,16004169.66,1626047999999.0,48890178.363528,204129.0,7807910.38,23860778.09611,0.0
2021-07-12,2.8883,3.1999,2.24,2.3187,8834674.85,1626652799999.0,24009459.749159,137977.0,4305895.73,11734518.765802,0.0
2021-07-19,2.3187,2.7566,2.1,2.5342,16558166.06,1627257599999.0,39834028.317011,208064.0,8664100.35,20817587.475796,0.0
2021-07-26,2.5342,2.8376,2.4339,2.6132,8032838.02,1627862399999.0,21223961.14087,123185.0,3945791.75,10426145.778818,0.0
2021-08-02,2.6102,3.1783,2.5673,2.8186,24212507.97,1628467199999.0,69490931.419158,251498.0,11750296.03,33728309.680108,0.0
2021-08-09,2.8197,3.3852,2.771,3.129,13997905.85,1629071999999.0,42851962.792756,236982.0,6979727.18,21377690.177923,0.0
2021-08-16,3.1283,3.3,2.8355,3.2216,14072848.36,1629676799999.0,43759274.128091,260037.0,7059469.26,21957397.515693,0.0
2021-08-23,3.2233,5.13,2.915,4.265,42876850.13,1630281599999.0,169746589.289664,585220.0,21811088.56,86170408.090661,0.0
2021-08-30,4.264,10.957,4.05,5.472,134132905.7,1630886399999.0,897891097.712322,1803011.0,63708669.02,427445991.036522,0.0
2021-09-06,5.472,6.323,3.786,4.956,85015451.1,1631491199999.0,431450511.2155,1097225.0,39669936.2,201603713.1691,0.0
2021-09-13,4.958,6.22,4.236,5.936,59667150.2,1632095999999.0,313349239.2347,774925.0,29241989.4,154087424.6499,0.0
2021-09-20,5.935,8.284,5.13,6.259,200319871.7,1632700799999.0,1334444718.2682,2594972.0,98002522.7,654932437.6868,0.0
2021-09-27,6.253,7.016,5.51,6.31,64274404.4,1633305599999.0,394147934.1222,942785.0,31119290.2,191014895.7941,0.0
2021-10-04,6.305,6.344,5.5,5.646,45719980.0,1633910399999.0,271627417.1873,696781.0,22293731.9,132557141.7535,0.0
2021-10-11,5.653,6.6,5.1,6.149,42173636.3,1634515199999.0,245830816.1859,751939.0,20788540.4,121260515.8039,0.0
2021-10-18,6.149,7.05,5.902,6.699,31224419.3,1635119999999.0,202597372.8966,576254.0,15686001.7,101875758.459,0.0
2021-10-25,6.693,7.865,6.0,6.236,48182468.1,1635724799999.0,328928664.9298,856009.0,24406805.7,167514041.557,0.0
2021-11-01,6.233,6.748,6.05,6.338,21258325.3,1636329599999.0,135316465.9071,397195.0,10382507.2,66148234.7409,0.0
2021-11-08,6.338,6.776,5.409,5.827,22575639.8,1636934399999.0,139386625.5709,394864.0,10860269.3,67178510.4383,0.0
